#Band	Type	Start	End
160m	CW	1810	1838
160m	RTTY	1838	1840
160m	SSB	1840	2000
80m	CW	3500	3580
80m	RTTY	3580	3600
80m	SSB	3600	3800
40m	CW	7000	7040
40m	RTTY	7040	7050
40m	SSB	7050	7200
30m	CW	10100	10140
30m	RTTY	10140	10150
20m	CW	14000	14070
20m	RTTY	14070	14099
20m	SSB	14101	14350
17m	CW	18068	18095
17m	RTTY	18095	18109
17m	SSB	18111	18168
15m	CW	21000	21070
15m	RTTY	21070	21149
15m	SSB	21151	21450
12m	CW	24890	24915
12m	RTTY	24915	24929
12m	SSB	24931	24990
10m	CW	28000	28070
10m	RTTY	28070	28190
10m	SSB	28225	29700
